0.110,0.459,0.023,#008000
0.191,0.434,-0.038,#038200
0.251,0.377,-0.112,#078300
0.360,0.339,-0.227,#0a8500
0.463,0.307,-0.339,#0d8600
0.610,0.260,-0.497,#180
0.738,0.166,-0.664,#158a00
0.862,0.074,-0.830,#188b00
0.947,-0.013,-0.958,#1c8d00
0.986,-0.060,-1.000,#208e00
1.000,-0.075,-0.926,#249000
0.971,-0.057,-0.759,#289100
0.954,-0.055,-0.618,#2c9300
0.941,-0.051,-0.505,#309500
0.936,-0.045,-0.444,#359600
0.910,-0.029,-0.375,#399800
0.880,-0.005,-0.281,#3d9900
0.877,0.017,-0.259,#429b00
0.875,0.041,-0.237,#469d00
0.897,0.036,-0.238,#4b9e00
0.911,0.032,-0.280,#50a000
0.908,0.015,-0.245,#55a100
0.907,0.027,-0.241,#5aa300
0.890,0.051,-0.217,#5fa500
0.850,0.079,-0.132,#64a600
0.820,0.090,-0.069,#69a800
0.797,0.104,-0.022,#6ea900
0.769,0.101,0.044,#73ab00
0.771,0.088,0.033,#79ac00
0.749,0.100,0.072,#7eae00
0.737,0.108,0.092,#84b000
0.769,0.125,0.051,#89b100
0.781,0.123,0.050,#8fb300
0.766,0.121,0.079,#95b400
0.749,0.145,0.077,#9bb600
0.735,0.128,0.119,#a1b800
0.754,0.125,0.098,#a7b900
0.681,0.175,0.226,#adbb00
0.542,0.238,0.400,#b3bc00
0.451,0.285,0.500,#b9be00
0.431,0.298,0.537,#bfbf00
0.395,0.295,0.586,#c1bc00
0.344,0.290,0.637,#c3b900
0.309,0.270,0.719,#c4b600
0.270,0.221,0.827,#c6b200
0.195,0.209,0.902,#c7af00
0.018,0.114,0.981,#c9ab00
-0.098,0.024,0.992,#cba700
-0.149,-0.060,1.000,#cca300
-0.251,-0.195,0.974,#ce9f00
-0.398,-0.365,0.891,#cf9c00
-0.549,-0.525,0.721,#d19700
-0.679,-0.686,0.545,#d39300
-0.792,-0.802,0.317,#d48f00
-0.897,-0.941,0.061,#d68b00
-0.975,-1.000,-0.189,#d78700
-0.986,-0.862,-0.351,#d98200
-0.970,-0.749,-0.443,#da7e00
-0.958,-0.638,-0.492,#dc7900
-0.982,-0.554,-0.635,#de7400
-0.992,-0.410,-0.730,#df7000
-1.000,-0.291,-0.777,#e16b00
-0.982,-0.117,-0.783,#e26600
-0.917,0.103,-0.683,#e46100
-0.829,0.365,-0.557,#e65c00
-0.771,0.539,-0.484,#e75700
-0.752,0.686,-0.455,#e95100
-0.750,0.772,-0.415,#ea4c00
-0.722,0.889,-0.354,#ec4700
-0.686,0.932,-0.281,#ee4100
-0.658,1.000,-0.222,#ef3c00
-0.642,0.996,-0.188,#f13600
-0.626,0.980,-0.143,#f23000
-0.616,0.971,-0.121,#f42b00
-0.601,0.925,-0.078,#f52500
-0.605,0.860,-0.089,#f71f00
-0.568,0.814,-0.052,#f91900
-0.528,0.785,-0.033,#fa1300
-0.541,0.705,-0.032,#fc0d00
-0.498,0.720,0.006,#fd0600
-0.467,0.728,0.013,#f00
