0.955,-0.038,0.087,#008000
0.968,-0.005,0.094,#078300
0.989,0.049,0.105,#0b8500
1.000,0.078,0.116,#128900
0.990,0.056,0.124,#178b00
0.981,0.036,0.127,#1f8e00
0.966,0.001,0.124,#249000
0.999,0.083,0.150,#2d9300
0.987,0.055,0.150,#329500
0.969,0.009,0.136,#3b9900
0.968,0.008,0.139,#419b00
0.976,0.027,0.145,#4a9e00
0.956,-0.019,0.136,#51a000
0.950,-0.036,0.130,#5ba300
0.947,-0.043,0.128,#61a500
0.947,-0.044,0.125,#6ca900
0.951,-0.037,0.123,#73ab00
0.945,-0.052,0.111,#7eae00
0.951,-0.039,0.109,#85b000
0.933,-0.083,0.091,#91b300
0.935,-0.080,0.087,#98b500
0.947,-0.052,0.096,#a4b900
0.933,-0.085,0.086,#adbb00
0.923,-0.107,0.077,#b9be00
0.933,-0.087,0.079,#c0be00
0.924,-0.109,0.074,#c3b800
0.924,-0.108,0.070,#c5b300
0.911,-0.138,0.064,#c9ac00
0.912,-0.138,0.059,#cba700
0.898,-0.172,0.053,#ce9f00
0.889,-0.192,0.048,#d09a00
0.896,-0.174,0.062,#d39200
0.887,-0.194,0.055,#d58c00
0.883,-0.201,0.057,#d98300
0.877,-0.214,0.057,#db7d00
0.886,-0.195,0.066,#de7400
0.836,-0.292,0.059,#e06d00
0.807,-0.338,0.081,#e36300
0.559,-0.631,0.258,#e55d00
0.344,-0.750,0.475,#e95200
0.162,-0.772,0.606,#eb4b00
0.028,-0.756,0.670,#ee4000
-0.104,-0.699,0.725,#f03800
-0.206,-0.632,0.749,#f32d00
-0.310,-0.546,0.749,#f52500
-0.406,-0.441,0.740,#f91900
-0.508,-0.300,0.751,#fb1100
-0.582,-0.184,0.753,#fe0400
0.824,-0.321,0.041,#048200
0.814,-0.340,0.035,#098400
0.788,-0.385,0.034,#108700
0.778,-0.400,0.034,#158a00
0.776,-0.404,0.036,#1c8d00
0.761,-0.431,0.032,#228f00
0.763,-0.424,0.040,#2a9200
0.770,-0.405,0.057,#2f9400
0.785,-0.381,0.060,#389700
0.796,-0.361,0.069,#3e9a00
0.802,-0.350,0.070,#479d00
0.808,-0.339,0.070,#4d9f00
0.792,-0.367,0.069,#57a200
0.786,-0.375,0.077,#5ea400
0.804,-0.342,0.081,#68a700
0.782,-0.385,0.063,#6faa00
0.777,-0.390,0.063,#7aad00
